date,sku,product_name,warehouse,stock_level,reorder_point
2026-01-08,SKU-1004,Ergonomic Mouse,WH-Europe,144,60
2025-11-10,SKU-1001,"27"" Monitor",WH-East,80,34
2026-02-14,SKU-1003,USB-C Hub,WH-Central,98,38
2025-12-23,SKU-1003,USB-C Hub,WH-East,52,38
2025-12-30,SKU-1001,"27"" Monitor",WH-East,189,34
2025-12-15,SKU-1006,Noise-Cancel Headset,WH-East,186,28
2026-02-07,SKU-1007,Desk Lamp LED,WH-Central,12,35
2025-10-22,SKU-1005,Webcam HD,WH-East,21,33
2026-01-18,SKU-1007,Desk Lamp LED,WH-East,84,35
2026-02-05,SKU-1003,USB-C Hub,WH-Central,128,38
2025-10-26,SKU-1004,Ergonomic Mouse,WH-East,156,60
2025-12-23,SKU-1002,Wireless Keyboard,WH-Central,166,35
2025-11-29,SKU-1000,Laptop Pro 15,WH-East,77,24
2025-12-20,SKU-1002,Wireless Keyboard,WH-Europe,86,35
2025-10-18,SKU-1004,Ergonomic Mouse,WH-East,43,60
2025-10-18,SKU-1005,Webcam HD,WH-Europe,179,33
2026-02-27,SKU-1004,Ergonomic Mouse,WH-West,69,60
2026-01-17,SKU-1002,Wireless Keyboard,WH-Europe,13,35
2026-01-09,SKU-1005,Webcam HD,WH-Europe,162,33
2026-01-08,SKU-1003,USB-C Hub,WH-Europe,66,38
2026-01-30,SKU-1001,"27"" Monitor",WH-Central,100,34
2025-12-31,SKU-1000,Laptop Pro 15,WH-East,66,24
2025-11-24,SKU-1000,Laptop Pro 15,WH-East,151,24
2025-12-01,SKU-1004,Ergonomic Mouse,WH-Central,36,60
2026-01-10,SKU-1004,Ergonomic Mouse,WH-East,20,60
2025-12-01,SKU-1001,"27"" Monitor",WH-Central,62,34
2025-12-26,SKU-1007,Desk Lamp LED,WH-Europe,131,35
2025-12-05,SKU-1004,Ergonomic Mouse,WH-East,103,60
2026-02-17,SKU-1004,Ergonomic Mouse,WH-West,106,60
2025-11-29,SKU-1005,Webcam HD,WH-West,185,33
2025-11-22,SKU-1001,"27"" Monitor",WH-Central,114,34
2025-12-27,SKU-1007,Desk Lamp LED,WH-Europe,195,35
2026-02-06,SKU-1007,Desk Lamp LED,WH-West,58,35
2026-01-25,SKU-1001,"27"" Monitor",WH-Europe,7,34
2026-01-24,SKU-1004,Ergonomic Mouse,WH-Central,77,60
2025-12-04,SKU-1004,Ergonomic Mouse,WH-East,134,60
2025-12-23,SKU-1003,USB-C Hub,WH-Europe,129,38
2026-01-24,SKU-1003,USB-C Hub,WH-Central,189,38
2025-11-18,SKU-1001,"27"" Monitor",WH-Europe,198,34
2025-12-21,SKU-1004,Ergonomic Mouse,WH-Central,122,60
2026-02-27,SKU-1001,"27"" Monitor",WH-Central,98,34
2025-10-24,SKU-1005,Webcam HD,WH-West,120,33
2025-12-06,SKU-1001,"27"" Monitor",WH-Europe,154,34
2026-02-20,SKU-1001,"27"" Monitor",WH-Europe,74,34
2025-10-16,SKU-1004,Ergonomic Mouse,WH-East,101,60
2025-10-23,SKU-1006,Noise-Cancel Headset,WH-Europe,143,28
2026-01-02,SKU-1002,Wireless Keyboard,WH-Europe,81,35
2026-01-26,SKU-1006,Noise-Cancel Headset,WH-West,119,28
2025-11-07,SKU-1006,Noise-Cancel Headset,WH-West,19,28
2026-01-07,SKU-1005,Webcam HD,WH-West,107,33
2025-12-10,SKU-1006,Noise-Cancel Headset,WH-West,7,28
2025-10-14,SKU-1005,Webcam HD,WH-Europe,177,33
2025-10-11,SKU-1006,Noise-Cancel Headset,WH-Europe,194,28
2025-10-21,SKU-1007,Desk Lamp LED,WH-East,72,35
2025-10-12,SKU-1000,Laptop Pro 15,WH-East,176,24
2026-02-10,SKU-1002,Wireless Keyboard,WH-Europe,90,35
2026-02-27,SKU-1003,USB-C Hub,WH-East,111,38
2026-01-05,SKU-1001,"27"" Monitor",WH-Europe,72,34
2025-10-07,SKU-1005,Webcam HD,WH-Central,53,33
2025-10-20,SKU-1004,Ergonomic Mouse,WH-West,48,60
2026-01-14,SKU-1007,Desk Lamp LED,WH-East,143,35
2025-10-29,SKU-1007,Desk Lamp LED,WH-Central,19,35
2026-02-05,SKU-1007,Desk Lamp LED,WH-West,105,35
2026-02-01,SKU-1002,Wireless Keyboard,WH-Central,168,35
2025-12-30,SKU-1005,Webcam HD,WH-Central,70,33
2025-10-11,SKU-1005,Webcam HD,WH-Central,148,33
2025-12-23,SKU-1005,Webcam HD,WH-West,25,33
2025-10-15,SKU-1007,Desk Lamp LED,WH-East,156,35
2025-12-27,SKU-1001,"27"" Monitor",WH-East,151,34
2025-11-11,SKU-1007,Desk Lamp LED,WH-Central,166,35
2026-02-20,SKU-1001,"27"" Monitor",WH-Europe,55,34
2026-02-16,SKU-1006,Noise-Cancel Headset,WH-West,62,28
2025-10-26,SKU-1007,Desk Lamp LED,WH-West,62,35
2025-11-23,SKU-1002,Wireless Keyboard,WH-Europe,189,35
2026-02-15,SKU-1001,"27"" Monitor",WH-Central,187,34
2025-11-10,SKU-1005,Webcam HD,WH-East,98,33
2025-10-21,SKU-1002,Wireless Keyboard,WH-Europe,167,35
2025-11-03,SKU-1000,Laptop Pro 15,WH-East,183,24
2026-02-14,SKU-1000,Laptop Pro 15,WH-East,33,24
2025-10-05,SKU-1000,Laptop Pro 15,WH-East,158,24
2025-10-25,SKU-1003,USB-C Hub,WH-West,131,38
2025-11-16,SKU-1003,USB-C Hub,WH-West,31,38
2025-11-21,SKU-1000,Laptop Pro 15,WH-Europe,48,24
2025-12-26,SKU-1001,"27"" Monitor",WH-East,51,34
2025-12-24,SKU-1007,Desk Lamp LED,WH-Central,26,35
2026-02-17,SKU-1000,Laptop Pro 15,WH-West,106,24
2025-12-16,SKU-1003,USB-C Hub,WH-West,102,38
2026-02-12,SKU-1002,Wireless Keyboard,WH-East,36,35
2025-11-17,SKU-1004,Ergonomic Mouse,WH-East,168,60
2025-11-17,SKU-1002,Wireless Keyboard,WH-Central,70,35
2026-01-08,SKU-1004,Ergonomic Mouse,WH-West,144,60
2025-11-11,SKU-1006,Noise-Cancel Headset,WH-East,16,28
2025-10-03,SKU-1003,USB-C Hub,WH-West,33,38
2025-11-27,SKU-1000,Laptop Pro 15,WH-Europe,100,24
2026-01-19,SKU-1005,Webcam HD,WH-Central,185,33
2025-11-26,SKU-1001,"27"" Monitor",WH-West,90,34
2025-10-02,SKU-1001,"27"" Monitor",WH-East,22,34
2026-02-15,SKU-1002,Wireless Keyboard,WH-West,82,35
2025-11-23,SKU-1000,Laptop Pro 15,WH-West,175,24
2026-02-13,SKU-1005,Webcam HD,WH-Central,95,33
2026-01-30,SKU-1005,Webcam HD,WH-East,150,33
2025-10-31,SKU-1005,Webcam HD,WH-West,177,33
2025-12-12,SKU-1003,USB-C Hub,WH-Central,42,38
2026-02-18,SKU-1004,Ergonomic Mouse,WH-Central,105,60
2025-12-12,SKU-1000,Laptop Pro 15,WH-East,65,24
2025-10-26,SKU-1005,Webcam HD,WH-Central,134,33
2026-01-15,SKU-1007,Desk Lamp LED,WH-Europe,21,35
2026-02-02,SKU-1005,Webcam HD,WH-Europe,176,33
2025-10-09,SKU-1004,Ergonomic Mouse,WH-West,37,60
2025-10-02,SKU-1000,Laptop Pro 15,WH-West,122,24
2025-12-03,SKU-1003,USB-C Hub,WH-West,23,38
2026-02-06,SKU-1005,Webcam HD,WH-Central,25,33
2025-10-11,SKU-1006,Noise-Cancel Headset,WH-Europe,142,28
2025-12-13,SKU-1007,Desk Lamp LED,WH-Europe,165,35
2026-01-19,SKU-1004,Ergonomic Mouse,WH-Central,165,60
2026-02-13,SKU-1007,Desk Lamp LED,WH-East,133,35
2025-12-05,SKU-1004,Ergonomic Mouse,WH-Central,125,60
2025-12-04,SKU-1006,Noise-Cancel Headset,WH-East,127,28
2025-12-05,SKU-1002,Wireless Keyboard,WH-Central,15,35
2025-11-27,SKU-1005,Webcam HD,WH-West,97,33
2026-01-01,SKU-1002,Wireless Keyboard,WH-Central,153,35
2025-10-10,SKU-1005,Webcam HD,WH-Europe,30,33
2026-02-21,SKU-1004,Ergonomic Mouse,WH-Central,148,60
2025-11-05,SKU-1001,"27"" Monitor",WH-East,68,34
2025-10-14,SKU-1006,Noise-Cancel Headset,WH-Europe,88,28
2026-01-01,SKU-1005,Webcam HD,WH-East,14,33
2026-02-21,SKU-1007,Desk Lamp LED,WH-West,12,35
2025-12-04,SKU-1002,Wireless Keyboard,WH-East,63,35
2025-11-29,SKU-1007,Desk Lamp LED,WH-Central,2,35
2025-11-01,SKU-1007,Desk Lamp LED,WH-Central,94,35
2026-02-10,SKU-1001,"27"" Monitor",WH-Central,21,34
2025-10-31,SKU-1006,Noise-Cancel Headset,WH-West,91,28
2025-10-03,SKU-1001,"27"" Monitor",WH-West,178,34
2025-10-13,SKU-1007,Desk Lamp LED,WH-East,116,35
2026-02-14,SKU-1003,USB-C Hub,WH-East,57,38
2025-12-12,SKU-1007,Desk Lamp LED,WH-Central,27,35
2025-11-06,SKU-1005,Webcam HD,WH-East,106,33
2025-11-28,SKU-1003,USB-C Hub,WH-East,123,38
2026-02-01,SKU-1001,"27"" Monitor",WH-East,22,34
2025-11-16,SKU-1004,Ergonomic Mouse,WH-Europe,139,60
2025-12-28,SKU-1000,Laptop Pro 15,WH-Europe,133,24
2025-11-25,SKU-1003,USB-C Hub,WH-East,70,38
2025-11-18,SKU-1003,USB-C Hub,WH-Europe,153,38
2026-01-26,SKU-1005,Webcam HD,WH-East,20,33
2025-10-13,SKU-1006,Noise-Cancel Headset,WH-West,84,28
2025-11-10,SKU-1004,Ergonomic Mouse,WH-Europe,100,60
2026-02-25,SKU-1007,Desk Lamp LED,WH-Central,94,35
2025-10-05,SKU-1004,Ergonomic Mouse,WH-West,16,60
2026-01-06,SKU-1002,Wireless Keyboard,WH-West,47,35
2025-11-04,SKU-1000,Laptop Pro 15,WH-East,7,24
2025-11-13,SKU-1003,USB-C Hub,WH-East,18,38
2025-11-16,SKU-1000,Laptop Pro 15,WH-Central,52,24
2025-12-08,SKU-1003,USB-C Hub,WH-Europe,58,38
2026-02-04,SKU-1003,USB-C Hub,WH-West,97,38
2025-12-12,SKU-1005,Webcam HD,WH-West,188,33
2025-12-17,SKU-1006,Noise-Cancel Headset,WH-Central,128,28
2026-02-05,SKU-1006,Noise-Cancel Headset,WH-East,165,28
2025-10-22,SKU-1001,"27"" Monitor",WH-Central,163,34
2026-02-25,SKU-1005,Webcam HD,WH-East,162,33
2026-02-26,SKU-1006,Noise-Cancel Headset,WH-West,45,28
2025-10-06,SKU-1002,Wireless Keyboard,WH-West,196,35
2026-02-25,SKU-1002,Wireless Keyboard,WH-Central,135,35
2026-02-22,SKU-1000,Laptop Pro 15,WH-East,194,24
2026-01-01,SKU-1002,Wireless Keyboard,WH-Europe,115,35
2026-01-02,SKU-1000,Laptop Pro 15,WH-East,142,24
2025-12-22,SKU-1007,Desk Lamp LED,WH-Central,107,35
2025-10-27,SKU-1002,Wireless Keyboard,WH-East,26,35
2025-11-07,SKU-1002,Wireless Keyboard,WH-West,173,35
2026-02-24,SKU-1001,"27"" Monitor",WH-Central,56,34
2025-12-06,SKU-1007,Desk Lamp LED,WH-Central,43,35
2025-10-03,SKU-1005,Webcam HD,WH-Europe,23,33
2026-01-26,SKU-1004,Ergonomic Mouse,WH-Europe,36,60
2025-10-03,SKU-1003,USB-C Hub,WH-East,158,38
2026-01-09,SKU-1002,Wireless Keyboard,WH-West,127,35
2026-02-24,SKU-1006,Noise-Cancel Headset,WH-East,16,28
2026-02-19,SKU-1004,Ergonomic Mouse,WH-West,166,60
2026-02-16,SKU-1003,USB-C Hub,WH-Central,150,38
2025-12-27,SKU-1001,"27"" Monitor",WH-East,141,34
2026-02-08,SKU-1002,Wireless Keyboard,WH-Europe,198,35
2026-01-12,SKU-1002,Wireless Keyboard,WH-East,30,35
2025-12-24,SKU-1005,Webcam HD,WH-West,199,33
2025-12-31,SKU-1006,Noise-Cancel Headset,WH-East,186,28
2025-10-19,SKU-1003,USB-C Hub,WH-Europe,56,38
2026-01-02,SKU-1005,Webcam HD,WH-Central,58,33
2025-12-10,SKU-1001,"27"" Monitor",WH-Europe,62,34
2025-12-11,SKU-1007,Desk Lamp LED,WH-East,96,35
2025-11-09,SKU-1001,"27"" Monitor",WH-Europe,176,34
2026-02-10,SKU-1001,"27"" Monitor",WH-East,198,34
2025-11-07,SKU-1005,Webcam HD,WH-Central,13,33
2026-02-13,SKU-1000,Laptop Pro 15,WH-Europe,68,24
2025-11-17,SKU-1006,Noise-Cancel Headset,WH-Europe,135,28
2026-02-24,SKU-1002,Wireless Keyboard,WH-West,157,35
2026-02-14,SKU-1007,Desk Lamp LED,WH-West,156,35
2025-10-12,SKU-1006,Noise-Cancel Headset,WH-West,95,28
2026-01-25,SKU-1004,Ergonomic Mouse,WH-East,173,60
2025-11-03,SKU-1005,Webcam HD,WH-West,133,33
2026-02-25,SKU-1002,Wireless Keyboard,WH-West,23,35
2026-01-15,SKU-1004,Ergonomic Mouse,WH-East,173,60
2025-12-25,SKU-1005,Webcam HD,WH-Central,121,33
2025-11-17,SKU-1007,Desk Lamp LED,WH-East,88,35
2025-12-06,SKU-1000,Laptop Pro 15,WH-West,142,24
2025-12-08,SKU-1004,Ergonomic Mouse,WH-East,21,60
2025-11-11,SKU-1001,"27"" Monitor",WH-East,64,34
2025-11-21,SKU-1006,Noise-Cancel Headset,WH-Europe,33,28
2025-11-22,SKU-1005,Webcam HD,WH-Central,150,33
2026-02-11,SKU-1000,Laptop Pro 15,WH-Central,199,24
2025-12-30,SKU-1001,"27"" Monitor",WH-Europe,113,34
2025-10-06,SKU-1000,Laptop Pro 15,WH-West,7,24
2025-10-22,SKU-1005,Webcam HD,WH-Europe,138,33
2025-11-21,SKU-1006,Noise-Cancel Headset,WH-West,26,28
2026-02-15,SKU-1004,Ergonomic Mouse,WH-East,42,60
2025-10-08,SKU-1007,Desk Lamp LED,WH-West,59,35
2025-11-15,SKU-1000,Laptop Pro 15,WH-Europe,167,24
2026-02-04,SKU-1002,Wireless Keyboard,WH-East,148,35
2026-01-30,SKU-1002,Wireless Keyboard,WH-East,16,35
2026-02-08,SKU-1006,Noise-Cancel Headset,WH-West,106,28
2026-01-17,SKU-1003,USB-C Hub,WH-West,142,38
2026-01-13,SKU-1001,"27"" Monitor",WH-East,11,34
2025-10-01,SKU-1003,USB-C Hub,WH-West,98,38
2026-02-05,SKU-1007,Desk Lamp LED,WH-Europe,136,35
2025-10-11,SKU-1006,Noise-Cancel Headset,WH-West,142,28
2026-01-28,SKU-1004,Ergonomic Mouse,WH-Central,163,60
2026-01-21,SKU-1006,Noise-Cancel Headset,WH-Europe,186,28
2026-02-05,SKU-1002,Wireless Keyboard,WH-West,171,35
2025-12-20,SKU-1007,Desk Lamp LED,WH-East,63,35
2026-02-12,SKU-1006,Noise-Cancel Headset,WH-West,120,28
2025-11-06,SKU-1006,Noise-Cancel Headset,WH-Europe,175,28
2026-02-09,SKU-1000,Laptop Pro 15,WH-West,124,24
2026-01-03,SKU-1001,"27"" Monitor",WH-East,14,34
2026-01-31,SKU-1003,USB-C Hub,WH-Central,12,38
2025-12-03,SKU-1001,"27"" Monitor",WH-Central,33,34
2026-01-26,SKU-1001,"27"" Monitor",WH-Europe,160,34
2026-02-14,SKU-1003,USB-C Hub,WH-East,186,38
2025-10-15,SKU-1001,"27"" Monitor",WH-West,173,34
2026-01-09,SKU-1005,Webcam HD,WH-West,43,33
2025-12-19,SKU-1003,USB-C Hub,WH-Central,50,38
2025-11-04,SKU-1006,Noise-Cancel Headset,WH-Europe,192,28
2025-12-14,SKU-1003,USB-C Hub,WH-West,11,38
2025-12-09,SKU-1003,USB-C Hub,WH-Central,176,38
2025-12-27,SKU-1002,Wireless Keyboard,WH-Central,57,35
2025-10-26,SKU-1002,Wireless Keyboard,WH-Central,70,35
2025-10-11,SKU-1003,USB-C Hub,WH-East,74,38
2026-02-23,SKU-1002,Wireless Keyboard,WH-East,7,35
2026-02-15,SKU-1007,Desk Lamp LED,WH-Central,128,35
2025-11-08,SKU-1006,Noise-Cancel Headset,WH-West,47,28
2025-10-11,SKU-1000,Laptop Pro 15,WH-West,142,24
2025-12-17,SKU-1007,Desk Lamp LED,WH-West,144,35
2025-11-07,SKU-1006,Noise-Cancel Headset,WH-East,91,28
2026-02-25,SKU-1001,"27"" Monitor",WH-Central,190,34
2025-10-30,SKU-1000,Laptop Pro 15,WH-Europe,182,24
2025-10-29,SKU-1005,Webcam HD,WH-Central,125,33
2026-01-30,SKU-1003,USB-C Hub,WH-West,105,38
2026-01-13,SKU-1001,"27"" Monitor",WH-Central,25,34
2025-10-15,SKU-1007,Desk Lamp LED,WH-Central,3,35
2025-10-31,SKU-1000,Laptop Pro 15,WH-West,116,24
2025-12-04,SKU-1003,USB-C Hub,WH-Europe,17,38
2026-02-16,SKU-1000,Laptop Pro 15,WH-Europe,177,24
2026-01-11,SKU-1001,"27"" Monitor",WH-Central,192,34
2026-01-14,SKU-1006,Noise-Cancel Headset,WH-Europe,87,28
2025-11-29,SKU-1004,Ergonomic Mouse,WH-Europe,58,60
2026-01-22,SKU-1005,Webcam HD,WH-West,28,33
